identifier,question,answer
medishield_0,"How much additional MediSave top-up do older Pioneer Generation seniors with serious pre-existing conditions receive annually between 2021 and 2025, and what can it be used for?","Older Pioneer Generation seniors with serious pre-existing conditions receive additional MediSave top-ups of $50 to $200 annually from 2021 to 2025, which can be used to pay MediShield Life premiums."
medishield_1,"How much is the co-insurance for the first $5,000 claimable amount if the deductible is $2,000?","The co-insurance for the first $5,000 claimable amount is $300, calculated as 10% of the remaining $3,000 beyond the $2,000 deductible."
medishield_2,What entity is responsible for administering the MediShield Life Scheme under the provisions of the MediShield Life Scheme Act 2015?,The Central Provident Fund (CPF) Board administers the MediShield Life Scheme under the provisions of the MediShield Life Scheme Act 2015.
medishield_3,What is the pro-ration factor for permanent residents for subsidised treatments for Continuation of Autologous Bone Marrow Transplant for Multiple Myeloma?,67%
medishield_4,"What is the highest premium increase one would experience by the end of the third year in the next review cycle, compared to premiums in 2024?",35%
medishield_5,What happens if there is insufficient balance in a MediSave Account to pay for MediShield premiums?,The individual or payer will be informed to top up MediSave or arrange for a family member to help pay the premiums.
medishield_6,What percentage of the incurred bill is used to compute the MediShield Life claim for daily ward and treatment charges?,27%
medishield_7,What is the slogan of Singapore's MediShield program that emphasizes the program's goal of enhanced coverage?,"Better Protection, For All, For Life."
medishield_8,"For Mr. A's 1st hospitalisation in the policy year 1 Apr 2026 – 31 Mar 2027, what is the claimable amount and does it exceed the deductible?","The claimable amount is $1,000 and it is less than the deductible of $2,000, so there is no payout from MediShield Life."
medishield_9,For how many years is Phased Support provided to all Singapore Citizens and Permanent Residents?,Two years.
medishield_10,"What is the subsidy reduction rate for Singapore residents living in residences with an Annual Value between $21,001 and $31,000?","Residents in residences with an Annual Value between $21,001 and $31,000 will receive 10 percentage points less than the shown subsidy rates."
medishield_11,What medical expenses related to accidents are included under the MediShield Life Scheme?,Dental work is covered under the MediShield Life Scheme only if required due to accidental injuries.
medishield_12,As of which date is the information in the MediShield Life Scheme booklet considered accurate?,The information in the MediShield Life Scheme booklet is correct as of 1 April 2025.
medishield_13,What is the relationship between members paying premiums during their working ages under MediShield Life and the benefits they receive?,"Members pay premiums ahead during their working ages under MediShield Life, and in return, they enjoy premium rebates during their older ages."
medishield_14,What is the payment method allowed for premiums of additional private insurance coverage when you buy an Integrated Shield Plan (IP)?,You can use MediSave to pay the premium for the additional private insurance coverage component up to the Additional Withdrawal Limits (AWLs).
medishield_15,From which date will examples of MediShield Life premiums computation be provided without Phased Support?,1 April 2027
medishield_16,Who determines subsidy eligibility for MediShield Life premiums in Singapore without requiring an application?,"Eligibility for MediShield Life premium subsidies is determined using existing information in Government databases, and no application is needed."
medishield_17,What is the maximum claim limit per policy year under Medishield in Singapore?,"$200,000"
medishield_18,What percentage of additional premium do individuals with serious pre-existing medical conditions need to pay for MediShield Life for the first 10 years?,30%
medishield_19,What is the percentage of additional Merdeka Generation Subsidies provided to seniors aged 76 years and above?,10%
medishield_20,What is the annual premium in 2025 for an insured 67-year-old lower-income Merdeka Generation Singapore Citizen after the premium cap?,"$1,326.00 per annum."
medishield_21,What category of expenses are non-subsidised bills pro-rated for under the Medishield program?,Non-subsidised bills are pro-rated for outpatient cancer treatments and home parenteral nutrition.
medishield_22,Where can one find a summary of the key features of the MediShield Life Scheme?,A summary of the key features of the MediShield Life Scheme can be found in the MediShield Life Scheme booklet.
medishield_23,What is the amount range of the deductible under MediShield Life based on age and ward class?,"The deductible under MediShield Life ranges from $2,000 to $4,500, depending on the claimant's age and choice of ward class."
medishield_24,"What percentage range do Pioneer Generation Subsidies cover for premiums, and are they influenced by household income or the Annual Value of residences?","Pioneer Generation Subsidies cover 40% to 60% of premiums, and they are not influenced by household income or the Annual Value of residences."
medishield_25,"What does MediShield Life protect Singapore Citizens and Permanent Residents against, regardless of their age or health condition?","MediShield Life protects Singapore Citizens and Permanent Residents against large healthcare bills for life, regardless of their age or health condition."
medishield_26,What kind of authority does the CPF Board have regarding the terms and conditions of the MediShield Life scheme?,The CPF Board may impose and vary the terms and conditions of the MediShield Life scheme as provided for in the legislation.
medishield_27,Who is automatically eligible for the Premium Cap and Phased Support provided under MediShield Life?,"All Singapore Citizens and Permanent Residents, regardless of household income and Annual Value of their residences, are automatically eligible."
medishield_28,"What is the eligibility for subsidies under Singapore's Medishield program for residents living in residences with an Annual Value above $31,000?","Residents living in residences with an Annual Value above $31,000 are not eligible to receive subsidies under the Medishield program."
