identifier,question,answer
ICA_0,"If a traveller plans to visit Malaysia with three companions but has initially generated a group QR code for a total of five people, what should he/she do when only four people are going for the trip?","It is important that those travelling in a group use a group QR code containing the passport details of those travelling in the same vehicle. In this case, to ensure a seamless and smooth travel experience, the traveller should use a group QR code that contains his/her three other travelling companions' profiles if only four (and not five) people are travelling.Tip: Traveller can create a group QR code that has five profiles and another separate QR code that contains four profiles. Different QR codes can be named uniquely (e.g., Family, Friends, and Colleagues)."
ICA_1,What is a Foreign Identification Number (FIN) or FIN card?,"A Foreign Identification Number (FIN) is a unique 9-character alphanumeric serial code assigned to foreigners with Long-Term immigration passes in Singapore (e.g. Student's Pass, Long-Term Visit Pass, Employment Pass, Work Permit, etc.) issued by the Immigration &amp; Checkpoints Authority (ICA) or the Ministry of Manpower (MOM). This FIN is not replicated."
ICA_2,How can I check the application status of my REP application?,"You can enquire the details of your REP by clicking the ""Check Application Status"" function in the e-Service."
ICA_3,Do I need to translate my documents that are not in English?,"You will need to provide original documents and official translations (for documents in languages other than English) for your application for immigration facilities. ICA accepts:Translations provided by the embassy of the country/place that issued the documentTranslations produced by a notary public in Singapore or the country/place that issued the documentPrivately created translations attested by the embassy of the country/place that issued the document, or notarised by a notary public in Singapore or the country/place that issued the document. ICA does not endorse any private translation companies or entities. Insufficient documentation may result in non-acceptance of your application. You may be required to provide additional documents to support your application."
ICA_4,What is the difference between a Dependant's Pass (DP) and a Long-Term Visit Pass (LTVP)?,Dependant's Pass (DP) is issued to dependants of eligible work pass holders by Ministry of Manpower whilst Long-Term Visit Pass (LTVP) is generally issued to dependants of eligible Singapore citizens/Singapore Permanent Residents by ICA.
ICA_5,Why is ICA removing the departure endorsement?,The removal of the departure endorsement is part of ICA's on-going efforts to streamline procedures at the checkpoints to facilitate faster and more efficient immigration clearance.
ICA_6,How do I report a potential misuse of my address?,You can submit a report on the misuse of your address.
ICA_7,When can I collect my citizenship certificate after registration?,"As a new citizen, you are required to attend the citizenship ceremony at the respective Group Representation Constituencies (GRCs) to collect your Singapore citizenship certificate. The ceremony would usually take place in approximately three to six months after your date of registration. Once the date of ceremony is firmed up, you or your sponsor will receive an email informing the detailed information concerning the ceremony."
ICA_8,Should I update the photo in the current passport if my/my child's facial appearance has changed?,"Regardless of age, you should apply for a new passport with an updated photo if your facial appearance has changed significantly. This will help to facilitate immigration clearance and avoid any misunderstandings over the identity of the passport holder at any checkpoint. The prevailing application fee for a new passport applies."
ICA_9,Will e-Services that do not require Singpass login still be available?,e-Services that do not require Singpass will continue to be available on the ICA website.
ICA_10,"After making payment, how do I print my receipt?","Once payment is successful, there will be a pop-up window of the receipt. You can use the print function on the web browser to print the receipt.You will not be able to reprint your receipt once you have closed the pop-up window of the receipt. If you require a receipt, please remember to print or save the receipt before closing the pop-up window.Please refer to ICA website for more information on payment-related enquiries."
