question
"If my Singapore citizenship application is still pending, can I apply for a passport?"
"If I am traveling with a group, can different members of the group use different QR codes for immigration clearance?"
"If I am a Singapore citizen residing overseas, what documents are needed to apply for a passport for my child born overseas?"
"If my passport application is approved, what are the available modes of receiving updates regarding the progress of my application?"
"What information should I include in a letter of appeal for a rejected visa application, besides a copy of my passport and the reason for reconsideration?"
"If I'm a Singapore citizen who has changed my name, what documentation is needed to update my passport?"
"If my flight is delayed, do I need to update my SG Arrival Card (SGAC)?"
"If my long-term visit pass (LTVP) is expiring soon, can I extend my stay in Singapore while waiting for my application to be granted?"
What are the consequences of providing false information on the SG Arrival Card?
"What are the implications if my passport is lost or stolen while I am overseas, and how does this affect my Singapore citizenship or permanent residency?"
"If I am a Singapore Permanent Resident (PR) applying to renew my Re-Entry Permit (REP), what documents should I have available?"
"If I am a Singapore Permanent Resident (PR) and I have updated my passport details, how do I transfer my existing Re-Entry Permit (REP) to my new passport?"
"If I am a Singapore PR, and I am using the MyICA mobile app, how often must I update the QR code?"
"If my Student's Pass expires soon, can I apply for a Long-Term Visit Pass (LTVP) to extend my stay in Singapore?"
"If I am a Singapore Permanent Resident (PR) and my Re-Entry Permit (REP) expires while I'm overseas, what steps can I take to return to Singapore?"
"If I hold both a Long-Term Visit Pass and a Student's Pass, which one takes precedence?"
What documents are needed to transfer my Re-Entry Permit (REP) to my new passport?
"If I am using a vehicle for a point-to-point transfer from Singapore to Malaysia, does the driver also need to submit the SG Arrival Card?"
"If I am a Singapore citizen who obtained a foreign citizenship, will I automatically lose my Singapore citizenship?"
"If my passport application is rejected, will I get a refund?"
"If my Re-Entry Permit (REP) is expiring soon, but I am unable to travel back to Singapore to renew it, what are my options?"
"If my Singapore Permanent Residence (PR) application is approved while I am overseas, how do I complete the necessary formalities?"
What happens if the SG Arrival Card (SGAC) details submitted before my trip are no longer accurate upon arrival?
"After obtaining Singapore Permanent Residence, what steps must I take to maintain my status while residing outside of Singapore?"
"If my flight details change after submitting the SG Arrival Card, do I need to submit a new one, or can I modify my existing submission?"
"If my passport application is rejected, can I get a refund?"
"If I plan to enter Singapore via land checkpoints, is it mandatory to use the QR code for immigration clearance, or can I still use my passport?"
"If my passport has been stolen, what steps should I take to report the loss and apply for a new one?"
"If my visit pass is expiring soon and I am unable to extend it before its expiration, what are the potential consequences?"
"If I am applying for a Long-Term Visit Pass (LTVP) based on my relationship with my Singaporean partner, how does ICA assess the genuineness of our relationship?"
"If my LTVP renewal is approved, will I receive a physical card?"
"If I have an appointment to collect my passport and IC, and am eligible for both to be collected at SingPost, can I choose to collect them at ICA instead?"
