question,is_ookb,0.54
What should be verified regarding a vehicle's reflectors and light system every two weeks to ensure road safety?,1,
What are the guidelines for safely overtaking autonomous vehicles (AVs) being tested on public roads in Singapore?,0,
What specific measures should be followed to ensure pedestrian safety at crosswalks during nighttime hours?,1,
What is the duration of the green driving probation badge requirement for drivers in Singapore under the Medishield program?,,?
What rule should motorists adhere to in roundabouts to ensure smooth traffic flow and avoid collisions?,0,
What are the conditions under which overtaking on the left is permissible in Singapore's driving regulations?,0,
What protocol must drivers follow when approaching a railway crossing in terms of stopping and allowing oncoming trains to pass?,1,
What changes in driving behavior should a motorist adopt when crossing narrow bridges in urban areas?,1,
What is the legal duration a suspended driver must wait before being eligible to retake their driving test in Singapore?,0,
What safety procedures should be followed when navigating through work zones with heavy vehicles on wet roads?,1,
What are the regulations for driving electric motorcycles on public roads in Singapore?,1,
What measures should drivers follow to avoid accidents caused by hydroplaning during wet weather conditions?,1,
What are the steps a new driver in Singapore must follow to avoid suspension during their probation period?,0,
What specific actions should drivers take when traveling behind a vehicle equipped with lane-keeping assist technology in challenging road conditions?,1,?
What safety measures should be considered while navigating a narrow road bordered by work zones or construction barriers?,1,
What are the consequences for exceeding the maximum speed limit on expressways under Singapore law?,0,
"What is the minimum threshold of tread depth in tires, below which it becomes illegal to drive on roads in Singapore?",0,
What are the visual markers associated with areas where parking is prohibited due to traffic regulations?,0,
What are the rules for using hazard lights in tunnels under Singapore's road traffic guidelines?,1,
What indicators should cyclists use to signal their intention to change lanes while riding in traffic?,1,
What precautions should a driver take when navigating through busy downtowns with bright road signs and advertisements?,1,
What environmental benefits are associated with adopting eco-driving practices and reducing unnecessary vehicle idling?,0,
"How does adhering to parking restrictions near specified zones, such as taxi stands or bus bays, contribute to traffic flow and safety?",1,
What are the guidelines for using hazard lights in tunnels or emergency situations within Singapore's Medishield program?,0,
What requirement must an applicant fulfill before attending lessons for the Riding Theory Test under Singapore's licensing programs?,0,
What are the safety precautions drivers should follow when encountering heavy rain and fog during their journey?,0,
"What mechanism is used to ensure clear lane usage for motorists approaching a tunnel in Singapore, beyond traditional traffic signs?",0,
What steps should a driver take to ensure proper alignment of wheels when turning sharply on uneven road surfaces?,1,
What is the consequence for a motorist who leaves their vehicle unattended and poorly illuminated on a public road at night?,0,
What is the penalty for failing to provide maintenance for vehicular windshield wipers and causing visibility issues in Singapore's Medishield program?,1,
What is the stipulated procedure for handling low visibility conditions caused by fog when driving on expressways in Singapore?,1,
What are the safety guidelines for handling an emergency situation in a road tunnel when vehicle operation becomes impossible?,0,
What are the safety measures that drivers in Singapore should take when driving during foggy conditions to ensure visibility and minimal risk to road users?,1,
How should drivers approach vehicles with distinctive hazard lights indicating emergency activity?,1,
How does the Medishield program in Singapore regulate driver behavior to ensure safety during tunnel emergencies?,0,
What are the conditions under which a driver's license may be suspended for three or more offences within two years in Singapore?,1,
What are the consequences of failing to meet the prescribed safety measures for transporting workers on the carriage deck according to regulations?,1,
What vehicle maintenance practice is fundamental to ensure optimal braking performance and avoid accidents caused by brake failure?,1,
What procedure should be followed to ensure a vehicle in Singapore fails no regulatory requirements before being driven on public roads?,0,
What are key maintenance routines for vehicles to ensure compliance with Singapore's Medishield program regulations?,0,
What penalties apply to drivers who commit offences in designated no-stopping zones?,0,
"What is the significance of maintaining a safe distance when traveling behind vehicles in tunnels, and what could happen if this rule is not followed?",1,
What specific precautions should drivers take when entering or exiting a tunnel in heavy rain to maintain safety?,,
"In Singapore, what is the purpose of the orange flashing lights placed at the roundabouts in high-traffic areas?",1,no such thing
What is the recommended driver behavior on approaching bends with limited visibility?,0,
What adjustment in driving behavior is recommended when passing through a zone with a high density of senior pedestrians?,0,
"What techniques can drivers use to enhance visibility and reduce glare during nighttime driving in urban areas, apart from adjusting their headlights?",,
What is the penalty for accumulating 30 demerit points within three consecutive years under Singapore's Medishield program?,1,
What are the guidelines for positioning a motorcycle in a tunnel during emergencies in Singapore?,,
What are the advantages of incorporating automated emergency detection systems in traffic tunnels?,,
What measures should motorists take to ensure compliance with lane-use restrictions in tunnels?,,
What signal is displayed to drivers approaching a roundabout to ensure they yield to traffic coming from their right?,,
What is the penalty for exceeding the speed limit in designated silver zones in Singapore?,1,
How does the Medishield program in Singapore enforce compliance with speed limits in tunnels?,,
What are the safety requirements for vehicles transporting hazardous materials in tunnels under Singapore's traffic regulations?,1,not even allowed?
What are the legal implications of leaving a vehicle unattended in unauthorized areas in Singapore?,,
What is the significance of maintaining the proper coolant level between 'high' and 'low' indicators in vehicles equipped with a coolant reservoir?,1,
What is the penalty for motorcycles using non-designated lanes within expressways under Singapore traffic regulations?,,
What measures should employers implement to ensure the safety of workers transported on lorry carriage decks during their transportation to work sites?,,
What restrictions apply to vehicles carrying explosive materials under Singapore's tunnel regulations?,,
What preventive measures can drivers take to avoid aquaplaning during heavy rain while driving in Singapore?,,
How often should drivers inspect their vehicle’s emergency lights and hazard indicators for proper functionality?,,
What are the visual safety features found on public buses in Singapore to ensure pedestrian awareness?,,
How does road usage behavior in school zones differ from silver zones in Singapore?,,
What are the specific steps a motorist should follow during a tunnel emergency to ensure safety?,0,
How does a driver determine when it is safe to change lanes in heavy traffic conditions?,,
How do variable speed signs contribute to the smooth operation of traffic flow in large metropolitan areas?,,
What rule should drivers adhere to at controlled junctions when pedestrian signals are active in Singapore?,,
What are the common features of mandatory traffic signs in Singapore's road system?,,
What is the penalty for driving through a pedestrian crossing where pedestrians are actively crossing in Singapore?,,
What measures can motorists take to reduce vehicular emissions and improve fuel efficiency while driving in Singapore?,0,
What precautions should motorists take to ensure the safety of elderly pedestrians when navigating school zones during peak hours?,,
"What types of drivers are required to undergo additional medical certifications to ensure their fitness for driving in Singapore, even before reaching age 65?",,
What are the safety guidelines for vehicles carrying hazardous materials when traveling on public roads in Singapore?,,
What are the requirements for drivers when navigating through sharp bends or complex intersections as recommended in Singapore traffic guidelines?,,
How should motorists react when approaching an intersection during heavy rain to prioritize safety?,,
What specific safety equipment must be installed in tunnels to aid motorists during emergencies?,,
What is the allowable age for obtaining an International Driving Permit (IDP) in Singapore?,,
What is the protocol for positioning the rearview mirror in a vehicle to ensure maximum visibility while driving?,,
"What precautions should be taken to ensure safe vehicle operation in windy conditions, and how do strong winds impact driving on open roads?",,
What measures can a driver take to safely navigate tunnels in poor visibility conditions?,,
What are the requirements for visually marking and identifying long vehicles driving in Singapore?,,
What are the possible penalties for accumulating 24 demerit points within a single year under Singapore traffic regulations?,,
What design feature of newer road tunnels in Singapore enhances air quality and ensures motorist safety during traffic congestion or emergency situations?,,
What is the protocol for handling loose or unsecured cargo on vehicles before entering a tunnel in Singapore?,,
What measures are required for elderly drivers to ensure they maintain qualification for their license renewal in Singapore?,,
How does proximity to wildlife crossings affect vehicle speed recommendations in nature areas according to Singapore's guidelines?,,
How do work zone signs enhance safety during temporary road activities in Singapore?,,
What measures should be taken to educate drivers about eco-friendly habits to improve fuel efficiency and reduce emissions?,,
