document_filename,experiment_type,knowledge_base_identifier,retrieval_type,llm_model,system_prompt_name,question_id,response_id,factuality,abstention
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_0_20250505173501,The travel,tier_1,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_1_20250505173504,The Foreig,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_2_20250505173503,You can ch,tier_2,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_3_20250505173505,Documents,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_4_20250505173509,The main d,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_5_20250505173507,ICA stoppe,tier_1,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_6_20250505173508,You can vi,tier_1,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_7_20250505173510,You can co,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_8_20250505173513,No citatio,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_9_20250505173512,"Yes, e-Ser",tier_1,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_10_20250505173514,No citatio,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_11_20250505173516,"Yes, Peopl",tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_12_20250505173517,You can us,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_13_20250505173518,No relevan,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_14_20250505173520,No citatio,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_15_20250505173521,No citatio,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_16_20250505173450,Visa Free,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_17_20250505173451,No citatio,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_18_20250505173453,You should,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_19_20250505173454,You may co,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_20_20250505173455,You can re,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_21_20250505173457,"To book, c",tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_22_20250505173458,The proces,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_23_20250505173457,No citatio,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_24_20250505173458,"Yes, you m",tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_25_20250505173458,You may tr,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_26_20250505173459,Visa appli,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_27_20250505173501,An Immigra,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_28_20250505173502,If you did,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_29_20250505173503,You can ap,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_30_20250505173505,The QR cod,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_31_20250505173505,No citatio,NA,yes
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_32_20250505173507,"No, you ca",tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_33_20250505173509,To update,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_34_20250505173509,SGAC or SG,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_35_20250505173510,If transpo,tier_3,no
factuality_ICA_134_removal_LONG_IN_CONTEXT_basic_gpt-4o-2024-11-20_output.json,removal,ICA_134,LONG_IN_CONTEXT,gpt-4o-2024-11-20,basic_llm_prompt,ICA_134_36_20250505173512,No direct,NA,yes
