identifier,question,answer
BTT_0,What is the impact of leaving a vehicle engine running when stationary for reasons other than traffic conditions under the Environmental Protection and Management (Vehicular Emissions) Regulations?,"It is an offence, and offenders are liable to a fine of up to $5,000 if convicted in court."
BTT_1,What does a broken white line indicate on a two-way road?,It indicates the centre line of a two-way road.
BTT_2,What is the minimum tread depth required for tyres before they need to be replaced as per Singapore's Basic Theory Test?,Tyres should be replaced if their tread depth is less than 1.6mm.
BTT_3,What driving control can be used to switch on a device to clear the windshield when it is raining?,The Wiper Switch.
BTT_4,What key road safety measures are implemented in school zones to enhance safety?,"Key road safety measures in school zones include prominent school zone signs, traffic calming measures like road humps, pedestrian crossings, parking restriction lines, railings along the road center, and red-textured road surfaces near school gates."
BTT_5,What precaution should motorcycle owners take to prevent theft even during short durations?,Motorcycle owners should remove ignition keys and handle lock their motorcycles even for short durations.
BTT_6,What action must a licence holder take to have their demerit points expunged?,Maintain a 12-month period free of scheduled offences.
BTT_7,What is the time frame during which free parking is available on Sundays and public holidays in short-term parking lots?,Free parking is available from 7am to 10.30pm.
BTT_8,"What is the required action if an accident occurs, regardless of its severity or visible damage?","Report the accident to your insurer within 24 hours or by the next working day with your accident vehicle, even if there is no visible damage or you are not claiming from any insurers or third parties."
BTT_9,What happens to the stopping distance of a vehicle on a wet road compared to a dry road?,The stopping distance of a vehicle increases to about twice that on a dry road due to less friction between tyres and the wet surface.
BTT_10,What gear practice should be followed while driving a manual vehicle to prevent dragging the engine?,Avoid dragging the engine by using the correct gear.
BTT_11,What does the acronym 'SH' stand for in Singapore's Expressway Monitoring and Advisory Systems (EMAS)?,Shoulder
BTT_12,What should drivers do if the traffic lights turn red while they are in the yellow box junction?,Drivers should proceed to complete their turn and clear the junction.
BTT_13,What is the minimum number of yellow reflective markings required on each side of a long vehicle for visibility enhancement?,Three yellow reflective markings.
BTT_14,What are the two sections mentioned in the document related to the Parts and Controls of a Car?,Front View and Rear View.
BTT_15,What is the maximum width of a vehicle allowed to enter where the corresponding road sign prohibits vehicles with width in excess of 2.3m?,The maximum permissible width is 2.3 meters.
BTT_16,What is the penalty for using a mobile communication device while driving in Singapore?,"The penalty for using a mobile communication device while driving includes a fine not exceeding $1,000 or imprisonment not exceeding 6 months, or both."
